Time (UTC),Actual Total Load [MW] - France (FR),Day-ahead Total Load Forecast [MW] - France (FR)
2018-12-31 23:00:00+00:00,63450.0,62176.0
2019-01-01 00:00:00+00:00,60800.0,60301.0
2019-01-01 01:00:00+00:00,59950.0,58540.0
2019-01-01 02:00:00+00:00,56400.0,55144.0
2019-01-01 03:00:00+00:00,53550.0,52978.0
2019-01-01 04:00:00+00:00,52200.0,52584.0
2019-01-01 05:00:00+00:00,52150.0,52881.0
2019-01-01 06:00:00+00:00,52200.0,53173.0
2019-01-01 07:00:00+00:00,52050.0,52929.0
2019-01-01 08:00:00+00:00,52200.0,53830.0
2019-01-01 09:00:00+00:00,54250.0,55677.0
2019-01-01 10:00:00+00:00,56350.0,57722.0
2019-01-01 11:00:00+00:00,58800.0,60387.0
2019-01-01 12:00:00+00:00,59400.0,60029.0
2019-01-01 13:00:00+00:00,56550.0,57977.0
2019-01-01 14:00:00+00:00,53900.0,56719.0
2019-01-01 15:00:00+00:00,53650.0,56642.0
2019-01-01 16:00:00+00:00,56650.0,59439.0
2019-01-01 17:00:00+00:00,61150.0,62690.0
2019-01-01 18:00:00+00:00,63200.0,63741.0
2019-01-01 19:00:00+00:00,62600.0,62360.0
2019-01-01 20:00:00+00:00,60450.0,60160.0
2019-01-01 21:00:00+00:00,59500.0,60983.0
2019-01-01 22:00:00+00:00,62950.0,61763.0
2019-01-01 23:00:00+00:00,60600.0,59306.0
2019-01-02 00:00:00+00:00,58000.0,56993.0
2019-01-02 01:00:00+00:00,57400.0,55713.0
2019-01-02 02:00:00+00:00,55250.0,53472.0
2019-01-02 03:00:00+00:00,54700.0,53103.0
2019-01-02 04:00:00+00:00,56600.0,55361.0
2019-01-02 05:00:00+00:00,60450.0,59308.0
2019-01-02 06:00:00+00:00,65000.0,63485.0
2019-01-02 07:00:00+00:00,69050.0,66769.0
2019-01-02 08:00:00+00:00,70900.0,68375.0
2019-01-02 09:00:00+00:00,72600.0,69164.0
2019-01-02 10:00:00+00:00,73150.0,69929.0
2019-01-02 11:00:00+00:00,74050.0,71349.0
2019-01-02 12:00:00+00:00,73800.0,70323.0
2019-01-02 13:00:00+00:00,71600.0,68572.0
2019-01-02 14:00:00+00:00,69250.0,66816.0
2019-01-02 15:00:00+00:00,68450.0,66648.0
2019-01-02 16:00:00+00:00,71350.0,69886.0
2019-01-02 17:00:00+00:00,75400.0,73776.0
2019-01-02 18:00:00+00:00,76950.0,74391.0
2019-01-02 19:00:00+00:00,73500.0,71105.0
2019-01-02 20:00:00+00:00,69650.0,68056.0
2019-01-02 21:00:00+00:00,68150.0,68727.0
2019-01-02 22:00:00+00:00,70750.0,69839.0
2019-01-02 23:00:00+00:00,66850.0,67684.0
2019-01-03 00:00:00+00:00,63850.0,65391.0
2019-01-03 01:00:00+00:00,62750.0,64179.0
2019-01-03 02:00:00+00:00,60150.0,61822.0
2019-01-03 03:00:00+00:00,59000.0,61255.0
2019-01-03 04:00:00+00:00,60400.0,63822.0
2019-01-03 05:00:00+00:00,64000.0,68352.0
2019-01-03 06:00:00+00:00,68750.0,72742.0
2019-01-03 07:00:00+00:00,72400.0,75911.0
2019-01-03 08:00:00+00:00,73900.0,76845.0
2019-01-03 09:00:00+00:00,75350.0,76941.0
2019-01-03 10:00:00+00:00,75800.0,76824.0
2019-01-03 11:00:00+00:00,76650.0,76666.0
2019-01-03 12:00:00+00:00,76150.0,74618.0
2019-01-03 13:00:00+00:00,74150.0,72433.0
2019-01-03 14:00:00+00:00,71600.0,70453.0
2019-01-03 15:00:00+00:00,70700.0,70357.0
2019-01-03 16:00:00+00:00,73600.0,74180.0
2019-01-03 17:00:00+00:00,78050.0,78349.0
2019-01-03 18:00:00+00:00,79550.0,78676.0
2019-01-03 19:00:00+00:00,75750.0,75424.0
2019-01-03 20:00:00+00:00,71800.0,72057.0
2019-01-03 21:00:00+00:00,69950.0,72536.0
2019-01-03 22:00:00+00:00,72800.0,73389.0
2019-01-03 23:00:00+00:00,71800.0,71259.0
2019-01-04 00:00:00+00:00,68900.0,69124.0
2019-01-04 01:00:00+00:00,68050.0,67950.0
2019-01-04 02:00:00+00:00,65750.0,65782.0
2019-01-04 03:00:00+00:00,64650.0,65032.0
2019-01-04 04:00:00+00:00,65850.0,67478.0
