"Time (UTC)","Day-ahead Total Load Forecast [MW] - France (FR)","Actual Total Load [MW] - France (FR)"
"01.01.2020 00:00 - 01.01.2020 01:00","65200","63142"
"01.01.2020 01:00 - 01.01.2020 02:00","64700","61612"
"01.01.2020 02:00 - 01.01.2020 03:00","61250","58419"
"01.01.2020 03:00 - 01.01.2020 04:00","58650","56268"
"01.01.2020 04:00 - 01.01.2020 05:00","57750","55937"
"01.01.2020 05:00 - 01.01.2020 06:00","57900","56162"
"01.01.2020 06:00 - 01.01.2020 07:00","58000","56390"
"01.01.2020 07:00 - 01.01.2020 08:00","57950","56153"
"01.01.2020 08:00 - 01.01.2020 09:00","58450","56766"
"01.01.2020 09:00 - 01.01.2020 10:00","60550","58512"
"01.01.2020 10:00 - 01.01.2020 11:00","62200","60243"
"01.01.2020 11:00 - 01.01.2020 12:00","64300","62966"
"01.01.2020 12:00 - 01.01.2020 13:00","64800","62086"
"01.01.2020 13:00 - 01.01.2020 14:00","61750","59477"
"01.01.2020 14:00 - 01.01.2020 15:00","59300","57900"
"01.01.2020 15:00 - 01.01.2020 16:00","58550","57970"
"01.01.2020 16:00 - 01.01.2020 17:00","60800","60972"
"01.01.2020 17:00 - 01.01.2020 18:00","64650","64213"
"01.01.2020 18:00 - 01.01.2020 19:00","66100","65207"
"01.01.2020 19:00 - 01.01.2020 20:00","64900","63617"
"01.01.2020 20:00 - 01.01.2020 21:00","62350","61578"
"01.01.2020 21:00 - 01.01.2020 22:00","60900","62420"
"01.01.2020 22:00 - 01.01.2020 23:00","63650","63170"
"01.01.2020 23:00 - 02.01.2020 00:00","62350","60536"
"02.01.2020 00:00 - 02.01.2020 01:00","59800","58409"
"02.01.2020 01:00 - 02.01.2020 02:00","59350","57107"
"02.01.2020 02:00 - 02.01.2020 03:00","56800","54825"
"02.01.2020 03:00 - 02.01.2020 04:00","55800","54173"
"02.01.2020 04:00 - 02.01.2020 05:00","57050","56186"
"02.01.2020 05:00 - 02.01.2020 06:00","60300","59687"
