Time (UTC),Actual Total Load [MW] - France (FR),Day-ahead Total Load Forecast [MW] - France (FR)
2021-01-01 00:00:00+01:00,66500.0,65761.0
2021-01-01 01:00:00+01:00,64600.0,64139.0
2021-01-01 02:00:00+01:00,63700.0,62657.0
2021-01-01 03:00:00+01:00,60600.0,59481.0
2021-01-01 04:00:00+01:00,58150.0,57656.0
2021-01-01 05:00:00+01:00,57450.0,57640.0
2021-01-01 06:00:00+01:00,57700.0,58365.0
2021-01-01 07:00:00+01:00,58050.0,59041.0
2021-01-01 08:00:00+01:00,58600.0,59460.0
2021-01-01 09:00:00+01:00,59300.0,60770.0
2021-01-01 10:00:00+01:00,61700.0,62720.0
2021-01-01 11:00:00+01:00,63500.0,64469.0
2021-01-01 12:00:00+01:00,65550.0,66837.0
2021-01-01 13:00:00+01:00,66200.0,65508.0
2021-01-01 14:00:00+01:00,63050.0,62762.0
2021-01-01 15:00:00+01:00,61300.0,61217.0
2021-01-01 16:00:00+01:00,61150.0,61141.0
2021-01-01 17:00:00+01:00,63800.0,64492.0
2021-01-01 18:00:00+01:00,67550.0,68046.0
2021-01-01 19:00:00+01:00,69600.0,69538.0
2021-01-01 20:00:00+01:00,69150.0,68557.0
2021-01-01 21:00:00+01:00,67100.0,66305.0
2021-01-01 22:00:00+01:00,66150.0,66925.0
2021-01-01 23:00:00+01:00,68700.0,67775.0
2021-01-02 00:00:00+01:00,66250.0,65566.0
2021-01-02 01:00:00+01:00,63550.0,63884.0
2021-01-02 02:00:00+01:00,63000.0,62956.0
2021-01-02 03:00:00+01:00,60600.0,60746.0
2021-01-02 04:00:00+01:00,59550.0,59759.0
2021-01-02 05:00:00+01:00,59950.0,60753.0
2021-01-02 06:00:00+01:00,61600.0,62473.0
2021-01-02 07:00:00+01:00,63900.0,64260.0
2021-01-02 08:00:00+01:00,66350.0,66420.0
2021-01-02 09:00:00+01:00,68500.0,68998.0
2021-01-02 10:00:00+01:00,70300.0,70928.0
2021-01-02 11:00:00+01:00,71350.0,72001.0
2021-01-02 12:00:00+01:00,72600.0,74471.0
2021-01-02 13:00:00+01:00,72350.0,72823.0
2021-01-02 14:00:00+01:00,69400.0,69836.0
2021-01-02 15:00:00+01:00,67500.0,68079.0
2021-01-02 16:00:00+01:00,66950.0,67519.0
2021-01-02 17:00:00+01:00,69400.0,70242.0
2021-01-02 18:00:00+01:00,73950.0,73325.0
2021-01-02 19:00:00+01:00,75700.0,74274.0
2021-01-02 20:00:00+01:00,73900.0,71801.0
2021-01-02 21:00:00+01:00,70950.0,68804.0
2021-01-02 22:00:00+01:00,69500.0,69081.0
2021-01-02 23:00:00+01:00,71800.0,69795.0
2021-01-03 00:00:00+01:00,69600.0,67227.0
2021-01-03 01:00:00+01:00,67000.0,65211.0
2021-01-03 02:00:00+01:00,66350.0,63771.0
2021-01-03 03:00:00+01:00,63700.0,61026.0
2021-01-03 04:00:00+01:00,61850.0,59455.0
2021-01-03 05:00:00+01:00,61600.0,59619.0
2021-01-03 06:00:00+01:00,62500.0,60605.0
2021-01-03 07:00:00+01:00,63800.0,61803.0
2021-01-03 08:00:00+01:00,65300.0,63427.0
2021-01-03 09:00:00+01:00,67350.0,65988.0
2021-01-03 10:00:00+01:00,70400.0,68724.0
2021-01-03 11:00:00+01:00,72500.0,70951.0
2021-01-03 12:00:00+01:00,74950.0,73616.0
2021-01-03 13:00:00+01:00,74750.0,71198.0
2021-01-03 14:00:00+01:00,71200.0,67791.0
2021-01-03 15:00:00+01:00,69100.0,66013.0
2021-01-03 16:00:00+01:00,68450.0,65627.0
2021-01-03 17:00:00+01:00,71000.0,68752.0
2021-01-03 18:00:00+01:00,75650.0,73060.0
2021-01-03 19:00:00+01:00,78000.0,74708.0
2021-01-03 20:00:00+01:00,76100.0,72419.0
2021-01-03 21:00:00+01:00,72750.0,69361.0
2021-01-03 22:00:00+01:00,70800.0,69280.0
2021-01-03 23:00:00+01:00,72700.0,
2021-01-04 00:00:00+01:00,69350.0,67612.0
2021-01-04 01:00:00+01:00,67100.0,65987.0
2021-01-04 02:00:00+01:00,66400.0,65194.0
2021-01-04 03:00:00+01:00,64000.0,62975.0
2021-01-04 04:00:00+01:00,62550.0,62283.0
2021-01-04 05:00:00+01:00,64250.0,64783.0
2021-01-04 06:00:00+01:00,68600.0,70182.0
2021-01-04 07:00:00+01:00,75750.0,75867.0
2021-01-04 08:00:00+01:00,80050.0,79146.0
2021-01-04 09:00:00+01:00,80500.0,80715.0
2021-01-04 10:00:00+01:00,81250.0,81555.0
2021-01-04 11:00:00+01:00,81550.0,82824.0
2021-01-04 12:00:00+01:00,82150.0,84518.0
2021-01-04 13:00:00+01:00,82100.0,83214.0
